Test
"UKIOS0010G",1584,918,"G","Faulkner","KIOS","Test","test","u"
"UDEPT00101",904,828,"1","Faulkner","DEPT","Emergency Department","EMER","U"
"UHALL02001",939,829,"1","Faulkner","HALL","Hall 20","HALL020","U"
"UDEPT00301",941,909,"1","Faulkner","DEPT","Endoscopy","ENDO","U"
"USERV00201",1020,492,"1","Faulkner","SERV","Admitting","ADM","U"
"UHALL00101",1021,515,"1","Faulkner","HALL","Hall 1","HALL001","U"
"URETL00101",1072,241,"1","Faulkner","FOOD","Starbucks","SB","U"
"ULABS00101",1091,594,"1","Faulkner","LAB","Blood Draw Lab","BDLAB","U"
"UHALL01901",1091,829,"1","Faulkner","HALL","Hall 19","HALL019","U"
"UDEPT00201",1091,810,"1","Faulkner","DEPT","Special testing","SPTEST","U"
"UHALL00201",1121,515,"1","Faulkner","HALL","Hall 2","HALL002","U"
"UHALL00301",1121,595,"1","Faulkner","HALL","Hall 3","HALL003","U"
"UREST00101",1147,490,"1","Faulkner","REST","Restroom A","RESTA","U"
"UHALL00401",1148,515,"1","Faulkner","HALL","Hall 4","HALL004","U"
"UELEV00201",1181,1157,"1","Faulkner","ELEV","Elevator Y","ELEVY","U"
"UDEPT00401",1192,536,"1","Faulkner","DEPT","Cardiac Rehab","CREHAB","U"
"UHALL00501",1192,515,"1","Faulkner","HALL","Hall 5","HALL005","U"
"UELEV00101",1218,406,"1","Faulkner","ELEV","Elevator X","ELEVX","U"
"USTAI00101",1239,1066,"1","Faulkner","STAI","Staircase C","STAIRC","U"
"UHALL01301",1247,236,"1","Faulkner","HALL","Hall 13","HALL013","U"
"UHALL01201",1252,300,"1","Faulkner","HALL","Hall 12","HALL012","U"
"UHALL01101",1253,406,"1","Faulkner","HALL","Hall 11","HALL011","U"
"UEXIT00101",1253,152,"1","Faulkner","EXIT","Atrium Main Lobby","LOBBY","U"
"UHALL00601",1254,518,"1","Faulkner","HALL","Hall 6","HALL006","U"
"UHALL01701",1254,829,"1","Faulkner","HALL","Hall 17","HALL017","U"
"UHALL01801",1254,559,"1","Faulkner","HALL","Hall 18","HALL018","U"
"UHALL02101",1254,866,"1","Faulkner","HALL","Hall 21","HALL021","U"
"UHALL02201",1254,923,"1","Faulkner","HALL","Hall 22","HALL022","U"
"UHALL02301",1255,1042,"1","Faulkner","HALL","Hall 23","HALL023","U"
"UHALL02401",1255,1065,"1","Faulkner","HALL","Hall 24","HALL024","U"
"UHALL02501",1255,1139,"1","Faulkner","HALL","Hall 25","HALL025","U"
"UHALL02601",1256,1157,"1","Faulkner","HALL","Hall 26","HALL026","U"
"UDEPT00601",1275,559,"1","Faulkner","DEPT","Pre-Admittance Screening","PSCREEN","U"
"ULABS00201",1275,866,"1","Faulkner","LAB","PULM Lab","PULMLAB","U"
"ULABS00301",1275,923,"1","Faulkner","LAB","VASC Lab","VASCLAB","U"
"USERV00101",1276,1043,"1","Faulkner","SERV","QR MAT Management","QRMANG","U"
"UHALL00701",1282,523,"1","Faulkner","HALL","Hall 7","HALL007","U"
"USTAI00401",1283,300,"1","Faulkner","STAI","Staircase F","STAIRF","U"
"USTAI00301",1288,405,"1","Faulkner","STAI","Staircase E","STAIRE","U"
"UHALL00801",1313,523,"1","Faulkner","HALL","Hall 8","HALL008","U"
"UREST00201",1313,503,"1","Faulkner","REST","Restroom B","RESTB","U"
"UELEV00301",1320,1139,"1","Faulkner","ELEV","Elevator Z","ELEVZ","U"
"UKIOS00101",1378,261,"1","Faulkner","KIOS","Navigation Kiosk","KIOSK","U"
"USERV00301",1380,946,"1","Faulkner","SERV","Linens","LINEN","U"
"UDEPT00501",1398,500,"1","Faulkner","DEPT","MRI/CT","MRI/CT","U"
"UHALL00901",1399,524,"1","Faulkner","HALL","Hall 9","HALL009","U"
"UHALL01601",1399,828,"1","Faulkner","HALL","Hall 16","HALL016","U"
"UHALL01401",1400,742,"1","Faulkner","HALL","Hall 14","HALL014","U"
"UHALL02701",1400,946,"1","Faulkner","HALL","Hall 27","HALL027","U"
"UHALL02801",1401,1113,"1","Faulkner","HALL","Hall 28","HALL028","U"
"UHALL02901",1402,1162,"1","Faulkner","HALL","Hall 29","HALL029","U"
"UDEPT00901",1423,827,"1","Faulkner","DEPT","Operation Rooms","ORS","U"
"ULABS00401",1463,1162,"1","Faulkner","LAB","LAB","LAB","U"
"UHALL01001",1472,523,"1","Faulkner","HALL","Hall 10","HALL010","U"
"UDEPT00701",1538,519,"1","Faulkner","DEPT","Radiology","RADIO","U"
"UHALL01501",1837,741,"1","Faulkner","HALL","Hall 15","HALL015","U"
"UDEPT00801",1838,760,"1","Faulkner","DEPT","Recovery","RECOV","U"
"UHALL03001",2054,1115,"1","Faulkner","HALL","Hall 30","HALL030","U"
"UDEPT01001",2054,1136,"1","Faulkner","DEPT","Operation Room","OR","U"
"UHALL03101",2347,1116,"1","Faulkner","HALL","Hall 31","HALL031","U"
"USTAI00201",2347,1195,"1","Faulkner","STAI","Staircase D","STAIRD","U"
"USERV00402",671,1202,"2","Faulkner","SERV","Mechanical Space","MECH","U"
"USERV00202",726,708,"2","Faulkner","SERV","Facilities North","FACILN","U"
"USERV00302",726,979,"2","Faulkner","SERV","Facilities South","FACILS","U"
"UDEPT00302",726,838,"2","Faulkner","DEPT","Morgue","MORG","U"
"UHALL00102",741,657,"2","Faulkner","HALL","Hall 1","HALL001","U"
"UHALL00202",742,708,"2","Faulkner","HALL","Hall 2","HALL002","U"
"UDEPT00102",742,637,"2","Faulkner","DEPT","Material Management","MM","U"
"UHALL00402",744,975,"2","Faulkner","HALL","Hall 4","HALL004","U"
"UHALL00502",744,1202,"2","Faulkner","HALL","Hall 5","HALL005","U"
"UHALL00302",745,836,"2","Faulkner","HALL","Hall 3","HALL003","U"
"UDEPT00402",763,976,"2","Faulkner","DEPT","Central Sterile Supply West","CSSW","U"
"UDEPT00202",763,707,"2","Faulkner","DEPT","Pharmacy","PHARM","U"
"UDEPT00602",816,1182,"2","Faulkner","DEPT","Biolmedical Engineering","BIOMED","U"
"UHALL00602",817,1206,"2","Faulkner","HALL","Hall 6","HALL006","U"
"UELEV00202",1076,1143,"2","Faulkner","ELEV","Elevator Y","ELEVY","U"
"UHALL00702",1131,1203,"2","Faulkner","HALL","Hall 7","HALL007","U"
"UHALL00802",1131,1142,"2","Faulkner","HALL","Hall 8","HALL008","U"
"UDEPT00702",1131,1224,"2","Faulkner","DEPT","Psych/Addiction Care","PACARE","U"
"UDEPT01202",1162,282,"2","Faulkner","DEPT","Otolaryngology","OTOL","U"
"UELEV00102",1200,396,"2","Faulkner","ELEV","Elevator X","ELEVX","U"
"USTAI00102",1204,1089,"2","Faulkner","STAI","Staircase C","STAIRC","U"
"UHALL01002",1231,1088,"2","Faulkner","HALL","Hall 10","HALL010","U"
