id,xcoord,ycoord,floor,building,nodetype,longname,shortname,teamassigned
PSERV00201,1020,492,1,Faulkner,SERV,Admitting,ADM,P
PSERV00204,1004,1193,4,Faulkner,SERV,Admin,ADMIN1,P
PSERV00304,1250,1234,4,Faulkner,SERV,Administration,ADMIN2,P
PDEPT00505,1271,622,5,Faulkner,DEPT,Ambulatory Clinic,AMB,P
PDEPT00605,1271,687,5,Faulkner,DEPT,Abulatory Care 1,AMB1,P
PDEPT00705,1271,746,5,Faulkner,DEPT,Abulatory Care 2,AMB2,P
PDEPT00805,1271,787,5,Faulkner,DEPT,Abulatory Care 3,AMB3,P
PDEPT00905,1271,851,5,Faulkner,DEPT,Abulatory Care 4,AMB4,P
PDEPT02004,1229,691,4,Faulkner,DEPT,BD Cardiology,BDCARDIO,P
PLAB00101,1091,594,1,Faulkner,LAB,Blood Draw Lab,BDLAB,P
PDEPT00602,816,1182,2,Faulkner,DEPT,Biolmedical Engineering,BIOMED,P
PDEPT01204,2112,1234,4,Faulkner,DEPT,BWH Plastics,BWH,P
PDEPT00305,1373,339,5,Faulkner,DEPT,BWH Surgical Specialties,BWHSS,P
PSERV00703,1286,760,3,Faulkner,FOOD,Cafeteria,CAF,P
PDEPT02104,1128,426,4,Faulkner,DEPT,Cardiology,CARDIO,P
PSERV00403,1130,1328,3,Faulkner,SERV,Chapel,CHAPEL,P
PSERV00804,2020,1236,4,Faulkner,SERV,Compliance/Patient Relations EAST,CPRELE,P
PSERV00704,1922,1235,4,Faulkner,SERV,Compliance/Patient Relations WEST,CPRELW,P
PDEPT00401,1192,536,1,Faulkner,DEPT,Cardiac Rehab,CREHAB,P
PDEPT00502,1402,1073,2,Faulkner,DEPT,Central Sterile Supply East,CSSE,P
PDEPT00402,763,976,2,Faulkner,DEPT,Central Sterile Supply West,CSSW,P
PDEPT00304,907,1189,4,Faulkner,DEPT,Department Offices,DEPTOFF,P
PELEV00101,1218,406,1,Faulkner,ELEV,Elevator X,ELEVX,P
PELEV00102,1200,396,2,Faulkner,ELEV,Elevator X,ELEVX,P
PELEV00103,1206,389,3,Faulkner,ELEV,Elevator X,ELEVX,P
PELEV00104,1192,405,4,Faulkner,ELEV,Elevator X,ELEVX,P
PELEV00105,1212,405,5,Faulkner,ELEV,Elevator X,ELEVX,P
PELEV00201,1181,1157,1,Faulkner,ELEV,Elevator Y,ELEVY,P
PELEV00202,1076,1143,2,Faulkner,ELEV,Elevator Y,ELEVY,P
PELEV00203,1164,1149,3,Faulkner,ELEV,Elevator Y,ELEVY,P
PELEV00204,1162,1161,4,Faulkner,ELEV,Elevator Y,ELEVY,P
PELEV00205,1182,1166,5,Faulkner,ELEV,Elevator Y,ELEVY,P
PELEV00301,1320,1139,1,Faulkner,ELEV,Elevator Z,ELEVZ,P
PELEV00302,1354,1128,2,Faulkner,ELEV,Elevator Z,ELEVZ,P
PELEV00303,1342,1151,3,Faulkner,ELEV,Elevator Z,ELEVZ,P
PELEV00304,1339,1158,4,Faulkner,ELEV,Elevator Z,ELEVZ,P
PELEV00305,1322,1166,5,Faulkner,ELEV,Elevator Z,ELEVZ,P
PDEPT00101,904,828,1,Faulkner,DEPT,Emergency Department,EMER,P
PDEPT00301,941,909,1,Faulkner,DEPT,Endoscopy,ENDO,P
PDEPT00405,1271,510,5,Faulkner,DEPT,Endocrinology/Diabetes/Hem-Onc,ENDO,P
