id,startNode,endNode
PHALL01204_PHALL01104,PHALL01204,PHALL01104
PHALL01204_PELEV00104,PHALL01204,PELEV00104
PHALL01204_PREST00104,PHALL01204,PREST00104
PHALL01204_PSTAI00504,PHALL01204,PSTAI00504
PHALL03504_PHALL03404,PHALL03504,PHALL03404
PHALL03504_PSERV00204,PHALL03504,PSERV00204
PHALL03504_PDEPT00404,PHALL03504,PDEPT00404
PHALL03504_PHALL03604,PHALL03504,PHALL03604
PDEPT01104_PHALL03104,PDEPT01104,PHALL03104
PHALL01205_PHALL00105,PHALL01205,PHALL00105
PHALL01205_PHALL01105,PHALL01205,PHALL01105
PHALL01205_PHALL01305,PHALL01205,PHALL01305
PHALL01205_PHALL01405,PHALL01205,PHALL01405
PDEPT01102_PHALL02002,PDEPT01102,PHALL02002
PHALL03505_PSTAI00105,PHALL03505,PSTAI00105
PHALL03505_PDEPT02005,PHALL03505,PDEPT02005
PHALL01201_PHALL01101,PHALL01201,PHALL01101
PHALL01201_PSTAI00401,PHALL01201,PSTAI00401
PHALL01201_PHALL01301,PHALL01201,PHALL01301
PHALL01202_PHALL01102,PHALL01202,PHALL01102
PHALL01202_PHALL02602,PHALL01202,PHALL02602
PHALL01202_PHALL02702,PHALL01202,PHALL02702
PHALL01202_PELEV00302,PHALL01202,PELEV00302
PHALL01203_PHALL00103,PHALL01203,PHALL00103
PHALL01203_PHALL01003,PHALL01203,PHALL01003
PHALL01203_PHALL01303,PHALL01203,PHALL01303
PRETL00101_PHALL01301,PRETL00101,PHALL01301
PDEPT00804_PHALL02504,PDEPT00804,PHALL02504
PDEPT00801_PHALL01501,PDEPT00801,PHALL01501
PDEPT00802_PHALL01502,PDEPT00802,PHALL01502
PDEPT02304_PHALL00604,PDEPT02304,PHALL00604
PSERV00604_PHALL03004,PSERV00604,PHALL03004
PSERV00603_PHALL02303,PSERV00603,PHALL02303
PDEPT00805_PHALL01905,PDEPT00805,PHALL01905
PHALL00103_PHALL00203,PHALL00103,PHALL00203
PDEPT02204_PHALL00304,PDEPT02204,PHALL00304
PHALL00102_PDEPT00102,PHALL00102,PDEPT00102
PHALL00102_PHALL00202,PHALL00102,PHALL00202
PHALL02404_PHALL02304,PHALL02404,PHALL02304
PHALL02404_PDEPT00604,PHALL02404,PDEPT00604
PHALL02404_PDEPT00704,PHALL02404,PDEPT00704
PHALL02404_PHALL02504,PHALL02404,PHALL02504
PHALL00101_PSERV00201,PHALL00101,PSERV00201
PHALL00101_PHALL00201,PHALL00101,PHALL00201
PHALL02405_PHALL02305,PHALL02405,PHALL02305
PHALL02405_PHALL02505,PHALL02405,PHALL02505
PHALL02401_PHALL02301,PHALL02401,PHALL02301
PHALL02401_PSTAI00101,PHALL02401,PSTAI00101
PHALL02401_PHALL02501,PHALL02401,PHALL02501
PHALL00105_PHALL00205,PHALL00105,PHALL00205
PHALL02402_PHALL02302,PHALL02402,PHALL02302
PHALL02402_PELEV00102,PHALL02402,PELEV00102
PHALL02402_PSTAI00202,PHALL02402,PSTAI00202
PHALL02402_PHALL02502,PHALL02402,PHALL02502
PHALL00104_PHALL01104,PHALL00104,PHALL01104
PHALL00104_PHALL00204,PHALL00104,PHALL00204
PHALL00903_PHALL00803,PHALL00903,PHALL00803
PHALL00903_PHALL01003,PHALL00903,PHALL01003
PDEPT01904_PHALL01404,PDEPT01904,PHALL01404
PHALL00902_PHALL00702,PHALL00902,PHALL00702
PHALL00902_PHALL01002,PHALL00902,PHALL01002
PHALL00902_PHALL01102,PHALL00902,PHALL01102
PHALL00901_PHALL00801,PHALL00901,PHALL00801
PHALL00901_PDEPT00501,PHALL00901,PDEPT00501
PHALL00901_PHALL01001,PHALL00901,PHALL01001
PHALL00901_PHALL01401,PHALL00901,PHALL01401
PLABS00401_PHALL02901,PLABS00401,PHALL02901
PDEPT01105_PHALL01805,PDEPT01105,PHALL01805
PHALL00905_PHALL00805,PHALL00905,PHALL00805
PHALL00905_PDEPT00305,PHALL00905,PDEPT00305
PHALL00905_PHALL01005,PHALL00905,PHALL01005
PHALL00904_PHALL00804,PHALL00904,PHALL00804
PHALL00904_PDEPT02504,PHALL00904,PDEPT02504
PHALL00904_PHALL01004,PHALL00904,PHALL01004
PSTAI00105_PSTAI00104,PSTAI00105,PSTAI00104
PSTAI00104_PHALL03904,PSTAI00104,PHALL03904
PSTAI00103_PHALL01903,PSTAI00103,PHALL01903
PSTAI00103_PSTAI00102,PSTAI00103,PSTAI00102
PSTAI00103_PSTAI00304,PSTAI00103,PSTAI00304
PSTAI00102_PHALL01002,PSTAI00102,PHALL01002
PSTAI00102_PSTAI00101,PSTAI00102,PSTAI00101
PDEPT01905_PHALL03405,PDEPT01905,PHALL03405
PDEPT01202_PHALL02302,PDEPT01202,PHALL02302
PHALL01105_PHALL01005,PHALL01105,PHALL01005
PHALL03405_PHALL03305,PHALL03405,PHALL03305
PHALL03405_PREST00305,PHALL03405,PREST00305
PHALL03404_PHALL02104,PHALL03404,PHALL02104
PHALL03404_PCONF00304,PHALL03404,PCONF00304
PHALL03404_PSERV00104,PHALL03404,PSERV00104
PHALL01101_PHALL00601,PHALL01101,PHALL00601
PHALL01101_PELEV00101,PHALL01101,PELEV00101
PHALL01101_PSTAI00301,PHALL01101,PSTAI00301
PHALL01102_PDEPT01002,PHALL01102,PDEPT01002
PHALL01103_PHALL01003,PHALL01103,PHALL01003
PHALL01103_PREST00103,PHALL01103,PREST00103
PHALL01103_PSTAI00203,PHALL01103,PSTAI00203
PHALL01103_PELEV00103,PHALL01103,PELEV00103
PHALL01104_PHALL01004,PHALL01104,PHALL01004
PHALL01104_PHALL01304,PHALL01104,PHALL01304
PDEPT00902_PHALL01402,PDEPT00902,PHALL01402
PHALL01905_PHALL01805,PHALL01905,PHALL01805
PHALL01905_PHALL02005,PHALL01905,PHALL02005
PDEPT00901_PHALL01601,PDEPT00901,PHALL01601
PHALL01901_PHALL01701,PHALL01901,PHALL01701
PHALL01901_PDEPT00201,PHALL01901,PDEPT00201
PHALL01901_PHALL02001,PHALL01901,PHALL02001
PHALL01902_PHALL01802,PHALL01902,PHALL01802
PHALL01902_PHALL02002,PHALL01902,PHALL02002
PHALL01902_PHALL02502,PHALL01902,PHALL02502
PHALL01903_PHALL01803,PHALL01903,PHALL01803
PHALL01903_PHALL02003,PHALL01903,PHALL02003
PDEPT00104_PHALL03804,PDEPT00104,PHALL03804
PDEPT02404_PHALL00804,PDEPT02404,PHALL00804
PHALL01904_PHALL01804,PHALL01904,PHALL01804
PHALL01904_PSTAI00304,PHALL01904,PSTAI00304
PHALL01904_PHALL02004,PHALL01904,PHALL02004
PDEPT00105_PHALL00405,PDEPT00105,PHALL00405
PSERV00504_PHALL02804,PSERV00504,PHALL02804
PSERV00503_PHALL02303,PSERV00503,PHALL02303
PDEPT00904_PHALL02604,PDEPT00904,PHALL02604
PDEPT00905_PHALL02005,PDEPT00905,PHALL02005
PHALL02304_PHALL02204,PHALL02304,PHALL02204
PHALL02304_PDEPT00504,PHALL02304,PDEPT00504
PHALL02305_PHALL02205,PHALL02305,PHALL02205
PHALL02305_PHALL02805,PHALL02305,PHALL02805
PHALL02301_PHALL02201,PHALL02301,PHALL02201
PHALL02301_PSERV00101,PHALL02301,PSERV00101
PHALL02302_PHALL02202,PHALL02302,PHALL02202
PHALL02303_PHALL02203,PHALL02303,PHALL02203
PHALL02303_PSERV00403,PHALL02303,PSERV00403
PHALL00804_PHALL00704,PHALL00804,PHALL00704
PHALL00803_PHALL00703,PHALL00803,PHALL00703
PHALL00803_PDEPT00603,PHALL00803,PDEPT00603
PHALL00802_PHALL00702,PHALL00802,PHALL00702
PHALL00802_PELEV00202,PHALL00802,PELEV00202
PHALL00801_PHALL00701,PHALL00801,PHALL00701
PHALL00801_PREST00201,PHALL00801,PREST00201
PDEPT01204_PHALL03104,PDEPT01204,PHALL03104
PDEPT01205_PHALL02805,PDEPT01205,PHALL02805
PHALL00805_PHALL00705,PHALL00805,PHALL00705
PSTAI00205_PHALL03305,PSTAI00205,PHALL03305
PSTAI00205_PSTAI00204,PSTAI00205,PSTAI00204
PSTAI00204_PHALL03704,PSTAI00204,PHALL03704
PSTAI00203_PSTAI00202,PSTAI00203,PSTAI00202
PSTAI00203_PSTAI00504,PSTAI00203,PSTAI00504
PLABS00301_PHALL02201,PLABS00301,PHALL02201
PSTAI00202_PSTAI00301,PSTAI00202,PSTAI00301
PSTAI00201_PHALL03101,PSTAI00201,PHALL03101
PSTAI00201_PSTAI00404,PSTAI00201,PSTAI00404
PHALL01001_PDEPT00701,PHALL01001,PDEPT00701
PSTAI00405_PHALL02705,PSTAI00405,PHALL02705
PSTAI00405_PSTAI00404,PSTAI00405,PSTAI00404
PHALL03305_PHALL03205,PHALL03305,PHALL03205
