column names
"UPARK00101_UWALK00101","UPARK00101","UWALK00101"
"UPARK00201_UWALK00201","UPARK00201","UWALK00201"
"UPARK00301_UWALK00301","UPARK00301","UWALK00301"
"UWALK00101_UWALK00201","UWALK00101","UWALK00201"
"UWALK00201_UWALK00301","UWALK00201","UWALK00301"
"UWALK00301_UWALK00401","UWALK00301","UWALK00401"
"UWALK00401_UWALK00501","UWALK00401","UWALK00501"
"UWALK00501_UWALK00601","UWALK00501","UWALK00601"
"UWALK00601_UWALK00701","UWALK00601","UWALK00701"
"UPARK00401_UWALK01201","UPARK00401","UWALK01201"
"UPARK00501_UWALK01301","UPARK00501","UWALK01301"
"UPARK00601_UWALK01401","UPARK00601","UWALK01401"
"UWALK01201_UWALK01301","UWALK01201","UWALK01301"
"UWALK01301_UWALK01401","UWALK01301","UWALK01401"
"UWALK00701_UWALK01401","UWALK00701","UWALK01401"
"UWALK00501_UPARK00701","UWALK00501","UPARK00701"
"UWALK00601_UPARK00801","UWALK00601","UPARK00801"
"UWALK00701_UPARK00901","UWALK00701","UPARK00901"
"UWALK04501_UWALK00701","UWALK04501","UWALK00701"
"UWALK00901_UPARK01001","UWALK00901","UPARK01001"
"UWALK01001_UPARK01101","UWALK01001","UPARK01101"
"UWALK01101_UPARK01201","UWALK01101","UPARK01201"
"UWALK00901_UWALK01001","UWALK00901","UWALK01001"
"UWALK01001_UWALK01101","UWALK01001","UWALK01101"
"UWALK01101_UWALK04501","UWALK01101","UWALK04501"
"UWALK04501_UEXIT00101","UWALK04501","UEXIT00101"
"UWALK04501_UWALK01501","UWALK04501","UWALK01501"
"UWALK01501_UWALK01601","UWALK01501","UWALK01601"
"UWALK01601_UWALK01701","UWALK01601","UWALK01701"
"UWALK01701_UWALK01801","UWALK01701","UWALK01801"
"UWALK01801_UWALK01901","UWALK01801","UWALK01901"
"UWALK01901_UWALK04601","UWALK01901","UWALK04601"
"UWALK04601_UWALK02001","UWALK04601","UWALK02001"
"UWALK02001_UWALK02101","UWALK02001","UWALK02101"
"UWALK02001_UWALK02201","UWALK02001","UWALK02201"
"UWALK02001_UWALK02301","UWALK02001","UWALK02301"
"UWALK02001_UWALK02401","UWALK02001","UWALK02401"
"UWALK02001_UWALK02501","UWALK02001","UWALK02501"
"UWALK02001_UWALK02601","UWALK02001","UWALK02601"
"UWALK02401_UWALK02701","UWALK02401","UWALK02701"
"UWALK02701_UWALK02801","UWALK02701","UWALK02801"
"UWALK02801_UWALK02901","UWALK02801","UWALK02901"
"UWALK02901_UWALK03001","UWALK02901","UWALK03001"
"UWALK03001_UWALK03101","UWALK03001","UWALK03101"
"UWALK03101_UWALK03201","UWALK03101","UWALK03201"
"UWALK03201_UWALK03301","UWALK03201","UWALK03301"
"UWALK02501_UWALK03701","UWALK02501","UWALK03701"
"UWALK03701_UWALK03601","UWALK03701","UWALK03601"
"UWALK03601_UWALK03501","UWALK03601","UWALK03501"
"UWALK03501_UPARK02201","UWALK03501","UPARK02201"
"UWALK03601_UPARK02301","UWALK03601","UPARK02301"
"UWALK03701_UPARK02401","UWALK03701","UPARK02401"
"UWALK02701_UPARK02101","UWALK02701","UPARK02101"
"UWALK02801_UPARK02001","UWALK02801","UPARK02001"
"UWALK02901_UPARK01901","UWALK02901","UPARK01901"
"UPARK01301_UWALK03301","UPARK01301","UWALK03301"
"UPARK01401_UWALK03201","UPARK01401","UWALK03201"
"UPARK01501_UWALK03101","UPARK01501","UWALK03101"
"UWALK02101_UPARK01601","UWALK02101","UPARK01601"
"UWALK02201_UPARK01701","UWALK02201","UPARK01701"
"UWALK02301_UPARK01801","UWALK02301","UPARK01801"
"UWALK03701_UPARK02701","UWALK03701","UPARK02701"
"UWALK03601_UPARK02601","UWALK03601","UPARK02601"
"UWALK03501_UPARK02501","UWALK03501","UPARK02501"
"UWALK02601_UWALK04101","UWALK02601","UWALK04101"
"UWALK04101_UWALK04001","UWALK04101","UWALK04001"
"UWALK04001_UWALK03901","UWALK04001","UWALK03901"
"UWALK04101_UPARK03001","UWALK04101","UPARK03001"
"UWALK04001_UPARK02901","UWALK04001","UPARK02901"
"UWALK03901_UPARK02801","UWALK03901","UPARK02801"
"UWALK01701_UWALK04201","UWALK01701","UWALK04201"
"UWALK04201_UWALK01601","UWALK04201","UWALK01601"
"UWALK04201_UWALK04301","UWALK04201","UWALK04301"
"UWALK04301_UWALK04401","UWALK04301","UWALK04401"
"UWALK04401_UEXIT00201","UWALK04401","UEXIT00201"
"A_B","A","B"
"213","A","D"
"F_A","F","A"
